尹大統領「国民への被害の最小限に」　物流スト巡り秘書官らに指示
韓日関係改善策巡る討論会　１４日に開催＝韓国官民シンクタンク
ＩＡＥＡ事務局長が１３日に訪韓　北朝鮮核問題・福島汚染水など協議
韓国外務次官「自由で繁栄するインド太平洋地域構築へ寄与」
韓国の２２年グーグル検索　「ウ・ヨンウ」関連が上位に＝人物１位は安倍氏
サッカー韓国代表　Ｗ杯終え笑顔の帰国
カタールＷ杯：韓国代表が帰国…ソン・フンミン「ファンのおかげで幸せだった」
【フォト】「12年ぶりベスト16進出」サッカー韓国代表が帰国
韓国ウェブ漫画が原作の日本ドラマ「正しい恋の始めかた」　来月スタート
金浦―羽田線　週８４往復に増便へ＝コロナ禍前の水準回復
カタールW杯：ソン・フンミン、ブラジル戦大敗への質問に「選手を非難しないで」
カタールW杯：ソン・フンミンのトレーナー、大韓サッカー協会を批判？　SNSで暴露した内容とは
サッカー韓国代表が宿泊していたホテルの2701号室
雑踏事故　行政安全相の解任建議案可決目指す＝韓国最大野党
尹大統領「北、核を持っているが通常戦力では圧倒を」
エバーランドの「きらきらX-masパレード」
韓国大統領室「フェイクニュースは放置しない」…金鍾大・金於俊両氏を告発
韓東勲法相、「深夜に尹大統領と酒席疑惑」めぐり共に民主・金宜謙議員とネットメディアなどを提訴…10億ウォン賠償請求
北朝鮮の政権・軍を「敵」と認識すべき　韓国国防相
共に民主・盧雄来議員、収賄容疑で聴取
コスダック指数 1.30ポイント▼ 718.14(終値)
総合株価指数 10.35ポイント▼ 2382.81(終値)
ウォン・ドル相場 2.9ウォン安 1321.7(終値)
韓国政府が物流ストの制裁着手　業務開始命令違反で初の告発
韓国政府「室内マスク着用義務、来年1月から3月の間に解除」
３分の１が単身世帯　４割以上が「結婚しなくてよい」＝韓国
韓国会社員の２１年平均年収　約４２０万円
韓国経済　輸出振るわず景気減速の可能性も＝政府系機関
災害ニュースへのコメント制限　過半数が「賛成」＝韓国雑踏事故受け
朝鮮王室の伝統化粧品「和協翁主陶磁器エディション」公開
韓国　来年６月から「満年齢」に統一＝国会委員会で改正案可決
「梨泰院惨事市民対策会議」発足
現代自のIONIQ6、発売から2カ月で9648台販売
カカオピッコマ　韓流功労賞のＫｏＣｏＬｏ　Ａｗａｒｄｓ受賞
尹大統領　８日にサッカー韓国代表と夕食会へ＝Ｗ杯で１６強入り
裁判所に向かう金於俊氏
【12月7日付社説】国家情報院は南北対話の窓口ではなく対北情報機関だ
物流スト２週間で損失３６３０億円　「速やかに業務復帰を」＝韓国政府
韓国国防白書「北朝鮮は敵」表現、6年ぶり復活へ
【動画】ウクライナ軍、2日連続でドローン攻撃
ジープ、新型「グランドチェロキー4xe」発表
カタールW杯：点の取り方を知っているチームに進化した韓国代表、次の4年はDF強化を
ウクライナ軍がモスクワ近郊の露軍基地にドローン攻撃…ロシア本土攻撃、本格化の兆しか
サッカーＷ杯　ブラジル戦の視聴率１９．２％＝韓国
韓国の新規コロナ感染者７万４７１４人　重症者は依然４００人超
カタールW杯：PK戦に強いクロアチア、W杯では3戦全勝
ウクライナ軍、2日連続でドローン攻撃…ロシアの防空網に脆弱性
暖房費の節約にはエアキャップ
カタールW杯：PK戦になると日本は「ノミの心臓」、クロアチアは「鋼の心臓」
ＩＯＣ「北朝鮮の資格停止今月末に終了」　パリ五輪への出場可能に
屋内でのマスク着用義務解除　「専門家は来月末ごろ可能と予想」＝韓国首相
韓国製戦車・自走砲　ポーランドに初引き渡し
北朝鮮が来月１７日に最高人民会議　来年の課題・予算など議論
韓国の国債利払い費用、4年後には30兆ウォン突破…年間の研究開発予算上回る
韓国国民の７７％「ソーシャルメディアで政治的分裂が深刻化」　米調査
