ロシア傭兵組織の創設者、国内企業社員の軍事訓練要求
爆撃に耐えた子ライオン４頭を救出、ウクライナから米に到着
ウクライナに強い国際支援、中国の台湾政策に影響か　米国務長官
隣りの患者の酸素供給切断し逮捕、「騒音」に怒り　独病院
ロシアが戦闘「凍結」狙う、大規模攻撃の準備で　ＮＡＴＯ
ロシア、「あらゆる手段」で戦闘継続　プーチン氏
１２月の満月は「コールドムーン」、欧米では火星食も観測
対ロシア経済制裁、第９弾実施へ　ＥＵ
英政府、炭鉱の新規開坑計画を３０年ぶりに承認
米アトランタで銃撃事件、１０代の２人を逮捕　１２歳と１５歳の少年が死亡
手術必要な乳児、裁判所が後見に　ワクチン接種者からの輸血を両親が拒否　ＮＺ
EXCLUSIVE
ベラルーシ、軍隊や装備の移動を発表　「テロ対策の脅威」理由に
ドイツ、ウクライナに自走榴弾砲１８台供与へ
アルゼンチン副大統領に禁錮６年、大統領時代の汚職の罪
米誌タイムの「今年の人」にウクライナ大統領
ドイツ、政府転覆計画容疑で極右過激派２５人逮捕　元議員も
座席リクライニングを理由に損害賠償命令、列車内でトラブル　中国
１８歳候補者が次期首長に当選、黒人で最年少　米アーカンソー州の自治体
マスク氏、資産額トップの座から一時転落　フォーブス誌長者番付
プーチン大統領「核戦争の脅威は増している」
ペルー議会、大統領を弾劾　警察が身柄拘束
フットボール、それともサッカー？　そこには複雑な歴史が
ウクライナ南部、東部でロシアの攻撃続き死傷者　イラン製ドローン１４機撃墜
トランプ氏チーム、機密指定の文書２点をフロリダ州の保管庫で発見
