尹大統領　サッカー韓国代表を招き夕食会「折れない心に感動」
今年最も輝いたスポーツ選手　孫興ミンが６年連続１位＝韓国調査
叙勲頓挫の徴用被害者「気分が悪い」　支援団体も非難＝韓国
梨泰院雑踏事故：韓国警察、遺留品の薬物検査実施…共に民主「被害者と遺族を2度泣かせる」
野球：韓国の首位打者・李政厚、吉田正のMLB行きに「おめでとう」…来年末の米移籍に意欲
最高打者賞を受賞したキウム・ヒーローズの李政厚
徴用被害者への叙勲に待った　韓国外交部「手続き上の問題」
文前大統領に出頭を求める可能性に韓東勲法相「法を超越した統治行為は存在しない」
韓米日高官　インドネシアで協議へ＝北の非核化問題議論
尹大統領　１５日に国政課題点検会議主宰＝国民参加し生中継
ビラ散布の脱北者団体　設立許可取り消し巡る訴訟で二審も敗訴＝韓国
韓中が外相会談を調整　年内にテレビ会談か
【独自】韓国公務員射殺事件、「通信傍受原本」削除の指示があった
台湾、10日から入国制限解除
韓国総合株価指数が５日続落　０．４９％安
共に民主・李在明代表「検察が演技指導」…南旭弁護士「キャスティングなさった方から下手な演技とのご指摘。申し訳ない」
2023癸卯年に合わせて「幸せなウサギの友だち」特別展
行政安全相の解任建議案　国会本会議で報告＝９日にも採決へ
コスダック指数 5.62ポイント▼ 712.52(終値)
総合株価指数 11.73ポイント▼ 2371.08(終値)
ウォン・ドル相場 3.7ウォン高 1318.0(終値)
【独自】「700億ウォンの約束が明るみになれば死ぬことになる」…金万培氏、南旭氏を懐柔
北朝鮮の今年のミサイル発射　過去最多・高水準＝韓国専門家
北朝鮮　人事で党幹部の忠誠心確保＝韓国政府が人名録発刊
「サンタと写真も撮って、プレゼントももらって」
物流スト　鉄鋼・石油化学業界への業務開始命令発動を承認＝尹大統領
多文化家庭がバドミントンで交流　１０日に大会＝韓国
米誌「世界の影響力ある女性ランキング」　８５位にサムスン家の李富真氏
韓国の新韓金融持ち株　晋玉童・新韓銀行頭取を次期会長候補に
【独自】韓国の対北交流団体トップ、京畿道補助金7.6億ウォン横領して風俗店通い・借金返済
ソウル市　米旅行誌が選ぶ「最高のＭＩＣＥ都市」に＝８年連続
【TV朝鮮動画】大庄洞開発疑惑・金万培氏、南旭弁護士を口封じ「話せば死ぬ」
【独自】「セウォル号支援金で北朝鮮礼賛」に怒った韓国MZ世代、安山青年会を告発
「国籍と身元を偽った北朝鮮ＩＴ技術者に注意」　韓国政府が呼び掛け
円安で勢い失う韓国「ノージャパン」運動、日本ビール輸入倍増・ユニクロ新店舗続々オープン
2023年卯年がやって来る
物流ストで再び業務開始命令　鉄鋼・石油化学業界対象に＝韓国政府
米国、大型輸送ヘリ「チヌーク」の韓国向け輸出を承認
北朝鮮のハッカー集団　韓国雑踏事故への関心を悪用した攻撃
韓中日感染症フォーラム開催　新型コロナなど巡り討論
国会前の噴水広場で夜空を照らすクリスマスツリー
金浦－羽田線、週84便に増便
火の海になった大邱城西工業団地…「灰が18キロ先まで飛来」
韓国の新規コロナ感染者６．５万人　前週比８千人増＝緩やかな増加傾向
北朝鮮がＷ杯の韓国対ブラジル戦を録画放送　孫興ミンにも言及
ブリは大きいほどおいしい
【動画】韓国陸軍「CH-47Fチヌーク」大型貨物輸送訓練
【動画】ウクライナ軍、ロシア最新型攻撃ヘリKA52を撃墜
カタールW杯：韓国の予選3試合未放送の北朝鮮、完敗したブラジル戦は放送
韓国外交部の新任担当局長　徴用被害者支援団体と面会
またウクライナ軍に…ロシア最新型攻撃ヘリKA52に「今年最も多く撃墜されたヘリ」の汚名
【動画】火の海になった大邱城西工業団地
【コラム】大躍進運動にそっくりの中国ゼロコロナ政策
