航空自衛隊を「航空宇宙自衛隊」に名称変更へ 政府方針
ワールドカップ 日本代表 森保監督らが帰国会見
日本代表 PK戦で敗退 1人目の南野「流れ作れず申し訳ない」
“性別変更に手術必要” 大法廷で審理へ 新たな判断の可能性も
バドミントン 山口茜が初戦快勝 ワールドツアーファイナルズ
「どちらが埼玉で有名なヤンキーか」で中学生大けが 11人逮捕
「母乳バンク」愛知 豊明に開設へ 国内3か所目 東京以外で初
電力大手5社「規制料金」値上げ申請受け 経産省で審査始まる
立憲民主党 旧統一教会 被害者救済法案に賛成する方針確認
“感染状況に地域差 置き換わりに注意” 厚労省専門家会合
プロボクシング 井上尚弥 4団体王座統一戦を前に練習を公開
防衛力整備“5年で43兆円” 自公了承 財源不足分は税制措置も
福島 被災地の空き家から下着など盗難か 巡査部長を書類送検
大麻所持の疑い 陸上自衛隊の自衛官2人を逮捕 東京 渋谷区
コロナ「２類相当」見直し議論本格化「５類」に？なぜ今？
命絶った息子が受けたのは“体罰”じゃない
ロシア空軍基地爆発相次ぐ プーチン政権 事態深刻に受け止めか
ロシア ウクライナに軍事侵攻（7日の動き）
「がん検診」受診率目標 60％に引き上げ 厚労省の新基本計画案
ワールドカップ 日本代表選手と森保監督が帰国
首相 “大阪・関西万博 各国との首脳会談などで率先してPR”
中国政府 「ゼロコロナ」政策の規制 “さらに緩和” と発表
南海トラフ巨大地震 評価検討会「特段の変化は観測されず」
入所者殺害の疑い 介護福祉士を逮捕 福島 小野町
乳児院で心理的虐待 職員が容姿やゆする発言 熊本市が改善勧告
旧統一教会など「宗教2世」 当事者団体設立 “被害防いで”
旧統一教会 被害者救済法案 あす衆院通過の見通し
春闘 「金属労協」前年の2倍 月額6000円以上の賃上げ要求へ
五輪テスト大会談合事件 小池知事“都職員以外の聞き取りも”
全日空 客室乗務員の新卒採用 再来年4月入社から再開へ
“来年の春闘 賃上げ水準 ことし上回る必要” 経団連 十倉会長
スクウェア・エニックス元社員 インサイダー取引容疑で再逮捕
円相場 値下がり 日米金利差拡大の見方から円売りドル買い動き
ロッテ 入団発表 ドラフト1位菊地「200勝できるような投手に」
“被害者救済法施行後 改善のため検討会設置へ” 河野消費者相
在職中のJR乗車証を悪用 元参院議員に有罪判決 名古屋地裁
“感染しても親子一緒に” コロナ禍のお産 模索する現場
薬物事件の情報漏らし現金授受か 徳島 藍住町の副議長ら逮捕
“骨太の方針で児童手当拡充など検討を”有識者会議報告書素案
大阪府 新型コロナ 10人死亡 新たに7815人感染確認
参院選 選挙区の「合区」めぐり各党が意見 参院憲法審査会
「年賀状じまい」増加か 理由を説明 連絡手段伝える配慮も
【新型コロナ 厚労省まとめ】211人死亡 14万9383人感染 (7日)
あなたの知らない所で「目黒のヒミツ」の研究が進んでいます
北海道新幹線 当初の計画より4割近く 6400億円余増加の見込み
中学生の列に軽ワゴン車ぶつかる 生徒4人軽いけが 岐阜
長野 伊那の女性殺害事件 女性名義の通帳持った男が金融機関に
中国の輸出額2か月連続で減少 欧米向けの輸出落ち込みが主要因
天守閣で忘年会 岡山城の夜間貸出始まる 1日1組限定10万円で
“チャイニーズドラゴン” メンバーら逮捕 高層ビル乱闘事件で
“悪魔の兵器”をなくせ スタートアップの挑戦
維新 馬場代表 首相に提言 “反撃能力保有し防衛予算増額を”
コンビニ 酒やたばこセルフレジ販売向け 年齢確認の指針作成へ
「iDeCo」加入年齢 70歳未満に引き上げ 厚労省の審議会が了承
盗塁王 阪神 近本 推定2000万円増 1億7000万円で契約更改
秋篠宮ご夫妻 日本で統計の整備開始150年の記念式典に出席
逆走の軽乗用車とトラック衝突 77歳男性死亡 茨城 古河
東京都 新型コロナ 10人死亡 1万4946人感染確認 前週比547人増
株価 値下がり 半導体関連銘柄に売り注文広がる
北朝鮮 1月17日「最高人民会議」開催 軍事分野の方針が焦点
「出産育児一時金」 50万円程度に増額する方向で調整
10月景気動向指数 2か月連続低下も景気判断「改善」で据え置き
ガソリン小売価格 全国平均168.1円 6週ぶり値上がり
オートロックマンションで高級品窃盗 防犯カメラに侵入の様子
米中間選挙 ジョージア州の上院選 民主党現職が当選確実 ABC
大阪メトロ新型車両公開 万博見据え開発 外観は宇宙船イメージ
衆院特別委 26年ぶり「自由討議」 選挙運動在り方で各党が意見
マイナンバーカード 海外でも取得や更新手続き検討 官房長官
ジャーナリスト殺害事件 サウジアラビア皇太子に免責適用
IOC 2030年の冬季五輪 開催地決定の時期 当初予定を先送りに
