ボクシング4団体王座統一戦 井上と対戦のバトラーが練習を公開
中国 天津市のトップに習主席に近い陳敏爾氏が就任へ
政府と経済界が意見交換 “連携して国内投資を加速”で一致
東名高速で妨害運転疑い 逮捕の男性 処分保留のまま釈放 検察
OECDと研究機関が各国の経済的格差など考えるフォーラム 東京
辺野古沖埋め立て訴訟 沖縄県の敗訴確定「訴えの資格なし」
モデルナのコロナワクチン追加接種可能 12歳以上に引き下げへ
【解説動画】ロシア国内 複数の空軍基地で爆発 今後の動きは？
マラソン パリ五輪代表選考 MGC 来年10月15日に開催決定
旧統一教会の被害者救済法案が衆院可決 賛成多数で
中国 新型コロナ PCR検査の陰性証明 提示求めないことを発表
“子どもの声が騒がしい”1軒の住民の苦情で公園閉鎖に 長野市
ネスレ日本「キットカット」など来年3月から値上げへ
【詳しく】6つの不当な勧誘行為とは 被害者どこまで救える？
保育園児暴行 県と市が保護者全員にアンケート調査へ 静岡
ドイツ “貴族”裁判官など25人逮捕 国家転覆と独自政府計画か
れいわ 初めての代表選挙が告示 3つの陣営から候補者
武装集団襲撃を想定 海外進出企業対象のテロ対策訓練 外務省
「日本カー・オブ・ザ・イヤー」 軽自動車タイプのEVが初受賞
日本ハム 伊藤大海 推定年俸8500万円で更改 2年連続2桁勝利
岸田首相 防衛費増額めぐり与党に増税検討を要請
新型コロナ 保健所 “紙の山”との闘い
沖縄警察署の窓ガラスなど割られた事件 少年など7人を書類送検
旧統一教会 「質問権」の回答を送付 文科省は追加質問の方針
【詳細】ロシア ウクライナに軍事侵攻（8日の動き）
吉田正尚 大リーグ レッドソックスと5年契約合意 代理人が公表
円相場 値上がり FRB金融引き締めと利上げ減速の両方の思惑で
DeNA ノーヒットノーラン達成の今永 推定4000万円増で契約更改
「出産・子育て」支援 借金あっても差し押さえ禁じる法律成立
旧統一教会の被害者救済法案 参院本会議で審議入り
プーチン大統領“核戦争脅威高まる” 軍事侵攻の長期化を示唆
西村経産相が代表の政党支部 寄付金収入を収支報告書に不記載
立民幹事長 「十分に配慮」めぐる玉木代表の投稿 撤回求める
2002年バリ島爆弾テロ事件 服役の男が仮釈放 批判や懸念の声
防衛費の追加財源 “検討に所得税は含めず” 自民 茂木幹事長
道央自動車道 観光バスがIC分岐帯に衝突 18人痛み訴え 北海道
千葉県警の元警部 現職時の性的暴行疑い 5回目の逮捕
“物価の優等生”卵も値上がり おせち料理は3割値上げの店も
大阪府 新型コロナ 9人死亡 新たに6950人感染確認
福祉の現場が直面する“値上げの冬”「規格外」で支える
【新型コロナ 厚労省まとめ】243人死亡 13万3065人感染 (8日)
東京都 新型コロナ 20人死亡 1万4104人感染 前週比1772人増
東京 葛飾区の印刷工場で火災 消防によると1人けが
名古屋 女子大生死亡 一緒にホテル滞在 男女3人逮捕 殺人疑い
セ投手3冠の阪神 青柳 推定年俸2億4000万円で更改 背番号17に
囲碁 仲邑菫三段「女流棋聖戦」へ 最年少で女流タイトル目指す
谷国家公安委員長 会議中に体調不良訴える 病院で診察後退院
多摩都市モノレール延伸 2030年代半ばの開業目指す 東京都
真珠湾攻撃81年 戦争の記憶継承に “バーチャル資料館” 東京
11月の景気ウォッチャー調査 4か月ぶりに悪化 物価高が影響
韓国 “北朝鮮のIT技術者に注意を” 偽造IDで身元偽り外貨稼ぎ
出征した若者たちはどこへ？ デジタル技術で足取りを伝える
“住む家がない…” 何とかしたい、その思いで
警察署で20年以上容疑者などの散髪 理容師に感謝状 新潟 燕
「NHK障害福祉賞」最優秀賞は栃木の17歳高校生 過去最年少
北海道 美瑛町 観光客に人気の「青い池」 夜間のライトアップ
株価 値下がり 米金融引き締め長期化で景気減速の懸念から
ワールドカップ 日本代表が首相と面会 森保監督「応援で勇気」
憲法改正の国民投票 ネット広告扱いは 衆院憲法審で参考人質疑
コリア国際学園で火つけた罪など 被告に猶予つき懲役3年の判決
紅白歌合戦 加山雄三さんが特別企画で出場
競馬 福永祐一騎手引退へ 調教師試験に合格 歴代4位の2613勝
10日から「国際賢人会議」 被爆者「広島からの叫び 話したい」
アップル クラウドで管理のデータ暗号化へ セキュリティー強化
ウーバーイーツ運営会社 労組との団交の命令に再審査申し立て
鈴木誠也WBC出場表明 大谷 ダルビッシュに続き大リーグ勢3人目
原子力発電の最大限活用へ「行動指針」まとめる 経済産業省
旧統一教会被害者救済法案 修正加えたうえ衆院特別委で可決
防衛相 “「スタンド・オフ・ミサイル」潜水艦発射型が有用”
顧客口座から約100万円を別口座に送金させ詐取か 元銀行員逮捕
法隆寺で「お身拭い」 一年のほこり落とし新年を 奈良
“一人で悩まないで” 職場の悩みに応じる無料の電話相談 連合
宮崎県知事選挙 3人が立候補 17日間の選挙戦始まる
旧統一教会被害者救済法案可決へ 首相“成立後も見直し検討”
モノレールの車窓から 鉄オタアナ完全実況！全駅にあるのは？
7月～9月のGDP 年率-0.8％ 先月発表の速報値から上方修正
カナダ 中央銀行が政策金利引き上げ4.25％に 利上げは7回連続
汚職疑惑ペルー大統領 弾劾決議案可決で失職 捜査当局が拘束か
10月の経常収支 641億円の赤字 エネルギー価格の高騰など要因
米 歯科大学の博物館 江戸～明治時代の日本の入れ歯など特別展
タリバン 殺人犯した男を公開処刑 復権後初か
JR京浜東北線 運転再開
JR湘南新宿ライン 宇都宮線 高崎線 運転再開
ドイツで国家転覆目指すテロ組織摘発 退役軍人など25人逮捕
